image_url	id	sp	image_type	body_size	handedness	tentacle_number	crest_height	thumb_ratio	pink_purple	clear	body_color	gap	gonodendra	overlap	latitude	longitude	time_observed_at	observed_on	time_zone	user_id	created_at	updated_at	quality_grade	license	num_identification_agreements	num_identification_disagreements	url	observed_on_string	positioning_method	positioning_device	place_state_name	place_country_name
https://inaturalist-open-data.s3.amazonaws.com/photos/3131825/large.jpg	2766534	G	L	1	L		L	S							-39.05764717	174.0565638	2016-03-10 19:39:00 +0000	2016-03-11	Nuku'alofa	165659	2016-03-11 00:43:29 +0000	2022-08-07 11:08:05 +0000	research	CC-BY-NC	4	2	http://naturewatch.org.nz/observations/2766534	Fri Mar 11 2016 08:39:00 GMT+1300 (GMT+13)			Taranaki	New Zealand
https://static.inaturalist.org/photos/3287947/large.jpg	2879021	M	D	2	L		L	L							-39.06650774	174.0191569	2016-04-04 03:55:16 +0000	2016-04-04	Auckland	57585	2016-04-04 08:32:38 +0000	2021-10-09 18:51:27 +0000	research	CC0	3	0	http://www.inaturalist.org/observations/2879021	Mon Apr 04 2016 15:55:16 GMT+1200 (GMT+12)			Taranaki	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/4039727/large.jpeg	3475379	M	D	1	L		L	L							-39.06977585	174.017973	2016-06-17 01:04:18 +0000	2016-06-17	Wellington	84804	2016-06-18 04:11:37 +0000	2023-01-10 00:41:08 +0000	research	CC-BY	4	0	http://naturewatch.org.nz/observations/3475379	2016-06-17 1:04:18 pm NZST			Taranaki	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1228676/large.	974159	M	D	2	L		M	M				Y			-41.34249398	174.783964		2013-10-10	Auckland	16490	2013-10-16 02:14:17 +0000	2020-07-31 19:37:37 +0000	research	CC-BY	4	0	http://naturewatch.org.nz/observations/373025	2013-10-10			Wellington	New Zealand
https://static.inaturalist.org/photos/1189541/large.JPG	974521	M	D	2	L		M		Y			Y	M		-41.0289959	174.8948336		2013-10-22	Auckland	57857	2013-10-22 20:04:41 +0000	2021-12-16 09:50:03 +0000	research	CC-BY	4	0	http://naturewatch.org.nz/observations/373405	2013-10-22			Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/2934654/large.jpg	2621608	G	D	1	L		M	S					M		-40.874981	174.997394		2016-01-18	Auckland	58553	2016-01-27 06:51:41 +0000	2020-07-31 19:37:40 +0000	research	CC-BY-NC-SA	5	1	http://naturewatch.org.nz/observations/2621608	2016-01-18			Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/3673334/large.JPG	3176390	M	L	2	L		M	M	Y						-34.883192	173.266515		2016-05-12	Auckland	125707	2016-05-15 00:07:55 +0000	2020-07-31 19:37:42 +0000	research	CC-BY-NC	2	0	http://naturewatch.org.nz/observations/3176390	2016-05-12			Northland	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1240294/large.	982717	M	L	1	R		N					Y			-43.92819	168.8678455		2014-01-03	Auckland	57756	2014-01-09 23:22:52 +0000	2021-12-16 10:36:30 +0000	research	CC0	4	0	http://naturewatch.org.nz/observations/381914	2014-01-03			West Coast	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1690935/large.JPG	1366880		D	0	R		N								-43.504095	172.730527		2015-04-04	Auckland	5302	2015-04-05 07:52:03 +0000	2022-10-10 08:17:45 +0000	research	CC-BY	2	1	http://naturewatch.org.nz/observations/1366880	2015-04-04			Canterbury	New Zealand
https://static.inaturalist.org/photos/1202411/large.	949197		M												-47.03485908	167.7062559		2012-12-26	Auckland	57791	2013-01-06 08:09:36 +0000	2021-10-18 01:10:53 +0000	research	CC-BY	2	1	http://naturewatch.org.nz/observations/346522	2012-12-26			Southland	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1236815/large.	979714		P												-43.28223098	172.7237969		2013-12-14	Auckland	5302	2013-12-16 01:16:36 +0000	2022-10-10 08:17:45 +0000	research	CC-BY	4	0	http://naturewatch.org.nz/observations/378813	2013-12-14			Canterbury	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1240595/large.	983011		M												-41.04263347	174.8627144		2014-01-11	Auckland	57754	2014-01-11 05:30:29 +0000	2021-12-16 10:36:43 +0000	research	CC-BY-NC-SA	3	0	http://naturewatch.org.nz/observations/382211	2014-01-11		manual	Wellington	New Zealand
https://static.inaturalist.org/photos/1412922/large.jpg	1124058		M												-41.0285555	174.8973533	2014-12-09 21:42:49 +0000	2014-12-10	Wellington	57857	2014-12-10 03:37:08 +0000	2021-12-16 16:14:31 +0000	research	CC-BY	2	1	http://www.inaturalist.org/observations/1124058	Wed Dec 10 2014 10:42:49 GMT+1300 (NZDT)			Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1449254/large.JPG	1150358		P												-41.345323	174.787277	2014-12-29 05:36:00 +0000	2014-12-29	Wellington	16490	2014-12-29 10:14:01 +0000	2022-07-21 09:36:47 +0000	research	CC-BY	6	0	http://naturewatch.org.nz/observations/1150358	2014-12-29 18:36			Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1493592/large.JPG	1182776		M												-41.394431	175.14352		2015-01-16	Auckland	59227	2015-01-19 00:47:30 +0000	2021-12-17 19:24:24 +0000	research	CC-BY	3	0	http://naturewatch.org.nz/observations/1182776	2015-01-16			Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1514941/large.jpg	1199434		M												-45.754659	170.650506		2015-01-25	Auckland	58945	2015-01-28 22:40:00 +0000	2021-12-16 16:15:51 +0000	research	CC-BY-NC	4	2	http://naturewatch.org.nz/observations/1199434	2015-01-25			Otago	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1515226/large.JPG	1199670		P												-41.344559	174.787242	2015-01-04 05:45:35 +0000	2015-01-04	Wellington	16490	2015-01-29 01:11:34 +0000	2022-12-09 01:53:21 +0000	research	CC-BY	5	2	http://naturewatch.org.nz/observations/1199670	2015-01-04 18:45:35		manual	Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/1730484/large.JPG	1399145		L	0	R										-41.175602	172.103148		2015-02-18	Auckland	59227	2015-04-17 02:35:58 +0000	2021-12-17 19:24:29 +0000	research	CC-BY	2	1	http://naturewatch.org.nz/observations/1399145	2015-02-18			West Coast	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/2932353/large.JPG	2620157		D	1	R										-34.742975	173.118526		2016-01-26	Auckland	125707	2016-01-26 22:12:55 +0000	2020-07-31 19:37:40 +0000	research	CC-BY-NC	3	1	http://naturewatch.org.nz/observations/2620157	2016-01-26			Northland	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/3093005/large.JPG	2739418		P												-41.376841	175.066388		2016-03-02	Auckland	59227	2016-03-03 03:42:41 +0000	2021-06-04 19:53:05 +0000	research	CC-BY	4	0	http://naturewatch.org.nz/observations/2739418	2016-03-02			Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/3308799/large.jpeg	2893269		P												-39.18033828	173.8151297	2016-04-02 23:08:53 +0000	2016-04-03	Wellington	84804	2016-04-07 09:23:10 +0000	2023-01-10 00:41:08 +0000	research	CC-BY	6	2	http://naturewatch.org.nz/observations/2893269	2016-04-03 11:08:53 am NZST			Taranaki	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/3790932/large.JPG	3278523		P												-36.947028	174.755495		2016-05-22	Auckland	58314	2016-05-23 08:32:58 +0000	2023-07-06 16:36:48 +0000	research	CC-BY	3	1	http://naturewatch.org.nz/observations/3278523	2016-05-22			Auckland	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/4157611/large.jpg	3585411	M	P	2											-41.34892167	174.7504717	2016-07-02 04:32:09 +0000	2016-07-02	Auckland	228317	2016-07-02 05:23:28 +0000	2020-07-31 19:37:43 +0000	research	CC-BY-NC	3	0	http://naturewatch.org.nz/observations/3585411	Sat Jul 02 2016 16:32:09 GMT+1200 (GMT+12)			Wellington	New Zealand
https://inaturalist-open-data.s3.amazonaws.com/photos/4341669/large.jpeg	3736015	M	M												-41.34413066	174.8204827	2016-07-24 00:18:00 +0000	2016-07-24	Wellington	57754	2016-07-24 08:08:02 +0000	2020-07-31 19:37:44 +0000	research	CC-BY	4	0	http://naturewatch.org.nz/observations/3736015	2016/07/24 12:18 PM NZST			Wellington	New Zealand
