image_url	id	sp	image_type	body_size	handedness	tentacle_number	crest_height	thumb_ratio	pink_purple	clear	body_color	gap	gonodendra	overlap	latitude	longitude	observed_on	time_observed_at	time_zone	user_id	created_at	updated_at	quality_grade	license	num_identification_agreements	num_identification_disagreements	url	observed_on_string	positioning_method	positioning_device	place_state_name	place_country_name
https://inaturalist-open-data.s3.amazonaws.com/photos/102503669/large.jpeg	63825907		L	1	L	1	L	M	Y						49.95583333	-6.339	2020-10-30	2020-10-30 11:21:02 +0000	UTC	3548691	2020-10-30 16:12:16 +0000	2020-11-06 16:12:54 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/63825907	2020-10-30T11:21:02Z			England	United Kingdom
https://inaturalist-open-data.s3.amazonaws.com/photos/29431100/large.jpg	19165770		L	3	L		L	M	Y						14.45848451	-60.81689999	2011-06-08	2011-06-09 03:45:00 +0000	Hawaii	1394600	2018-12-23 03:47:19 +0000	2018-12-27 03:52:29 +0000	research	CC-BY-NC	2	0	https://www.inaturalist.org/observations/19165770	2011/06/08 5:45 PM HST			Le Marin	Martinique
https://inaturalist-open-data.s3.amazonaws.com/photos/31141237/large.jpeg	20179337		L	2	L		L	M	Y		Y		Y		-28.37988	32.42638	2017-09-17		Africa/Johannesburg	687821	2017-10-04 20:21:15 +0000	2019-11-14 14:59:24 +0000	research	CC-BY-SA	3	0	https://www.inaturalist.org/observations/20179337	2017-09-17				South Africa
https://inaturalist-open-data.s3.amazonaws.com/photos/54844689/large.jpeg	34818922		L	1	L		L	M	Y		R				20.39502807	-87.31509057	2012-05-11	2012-05-11 20:27:00 +0000	Central Time (US & Canada)	827099	2019-10-24 07:19:00 +0000	2023-07-07 16:11:30 +0000	research	CC-BY-NC-ND	1	0	https://www.inaturalist.org/observations/34818922	2012/05/11 3:27 PM CDT			Quintana Roo	Mexico
https://inaturalist-open-data.s3.amazonaws.com/photos/58567179/large.jpeg	36992086		D	2	L		L	M	Y		R				12.51385403	-81.71472931	2019-12-26	2019-12-26 14:05:45 +0000	Bogota	1973666	2019-12-27 06:14:49 +0000	2019-12-27 07:50:25 +0000	research		1	0	https://www.inaturalist.org/observations/36992086	2019-12-26 9:05:45 AM GMT-05:00	gps	gps	San Andrés y Providencia	Colombia
https://inaturalist-open-data.s3.amazonaws.com/photos/104991626/large.jpeg	65253356		P	1	L		L	M	Y						27.42728418	-97.29600339	2020-11-19	2020-11-19 20:20:00 +0000	Central Time (US & Canada)	143067	2020-11-20 02:29:46 +0000	2020-11-22 00:46:46 +0000	research	CC-BY-NC	3	0	https://www.inaturalist.org/observations/65253356	2020/11/19 2:20 PM CST			Texas	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/32478051/large.jpg	21025841		P	1	L		L	M	Y						26.77283176	-80.04363343	2019-03-07	2019-03-07 16:49:52 +0000	Eastern Time (US & Canada)	1452873	2019-03-07 17:07:10 +0000	2019-03-12 12:03:18 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/21025841	Thu Mar 07 2019 11:49:52 GMT-0500 (EST)			Florida	United States
https://inaturalist-open-data.s3.amazonaws.com/photos/235576534/large.jpg	137888643		D	3	L		M	M	Y					YES	25.8229168	-97.1548077	2021-08-19	2021-08-19 18:42:00 +0000	America/Matamoros	3585151	2022-10-07 18:46:45 +0000	2022-10-08 21:03:53 +0000	research	CC-BY-NC	1	0	https://www.inaturalist.org/observations/137888643	2021/08/19 1:42 PM			Tamaulipas	Mexico
https://inaturalist-open-data.s3.amazonaws.com/photos/29607876/large.jpg	19266531		D	2	L		M	M	Y						10.34955111	-60.97544669	2018-12-24	2018-12-24 03:41:00 +0000	Sydney	196849	2018-12-28 10:07:01 +0000	2018-12-30 01:29:27 +0000	research	CC-BY	2	0	https://www.inaturalist.org/observations/19266531	2018-12-24 14:41				Trinidad and Tobago
https://static.inaturalist.org/photos/31162049/large.jpg	20190998		L	2	L		M	M	Y						10.57043748	-83.51422949	2019-02-07	2019-02-07 16:52:00 +0000	Pacific Time (US & Canada)	27263	2019-02-07 22:09:22 +0000	2022-02-11 18:22:46 +0000	research		2	0	https://www.inaturalist.org/observations/20190998	2019/02/07 8:52 AM PST				Costa Rica
