,A,B1,B2,C1,C2
A,0.004,0.028,0.03,0.053,0.04
B1,0.028,0.005,0.024,0.052,0.051
B2,0.03,0.024,0.003,0.046,0.043
C1,0.053,0.052,0.046,0.012,0.053
C2,0.04,0.051,0.043,0.053,0.001
