,A,B1,B2,C1,C2
A,0.003,0.082,0.082,0.122,0.124
B1,0.082,0.006,0.045,0.102,0.103
B2,0.082,0.045,0.001,0.114,0.113
C1,0.122,0.102,0.114,0.023,0.13
C2,0.124,0.103,0.113,0.13,0.007
