status	ID	accession_number	site_ID	ocean	location	site	lat_long	date_collected	collection_ID	raw lat long	collector	permit
high quality	YPM-IZ-110828			SE Pacific	Chile	La Herradura bay, Coquimbo, Chile	-29.972700, -71.360900	7/12/2023	20230712	-29.9727, -71.3609	Javier Sellanes Lopez	
high quality	YPM-IZ-110829			SE Pacific	Chile	La Herradura bay, Coquimbo, Chile	-29.972700, -71.360900	7/13/2023	20230713	-29.9727, -71.3609	Javier Sellanes Lopez	
high quality	YPM-IZ-110830			SW Atlantic	Uruguay	Barra del Chuy, Rocha, Uruguay	-33.751600, -53.380100	2/28/2014	BC-1	-33.7516, -53.3801	Javier Sellanes Lopez	
high quality	YPM-IZ-110842			NE Atlantic	Azores	Porto Pim beach, Faial Island, Azores	38.524769, -28.625946	7/18/2019	PHY104	38.524769, -28.625946	Bruno I. Magalhães	Secretaria Regional do Mar, Ciência e Tecnologia dos Açores, AMP/2018/021
high quality	YPM-IZ-110843			NE Atlantic	Azores	Santa Barbara beach, São Miguel Island, Azores	37.818604, -25.543635	5/22/2020	PHY314	37.818604, -25.543635	Bruno I. Magalhães	Secretaria Regional do Mar, Ciência e Tecnologia dos Açores, AMP/2018/021
high quality	YPM-IZ-110844			NE Atlantic	Azores	Porto Pim beach, Faial Island, Azores	38.524769, -28.625946	11/29/2019	PHY128	38.524769, -28.625946	Bruno I. Magalhães	Secretaria Regional do Mar, Ciência e Tecnologia dos Açores, AMP/2018/021
high quality	YPM-IZ-110845			NE Atlantic	Azores	Milicias beach, São Miguel Island, Azores	37.750488, -25.624447	8/17/2020	PHY374	37.750488, -25.624447	Bruno I. Magalhães	Secretaria Regional do Mar, Ciência e Tecnologia dos Açores, AMP/2018/021
high quality	YPM-IZ-110846			NE Atlantic	Azores	Entre Montes, Faial Island, Azores	38.523756, -28.623767	7/10/2020	PHY56	38.523756, -28.623767	Carlos J. Moura	Secretaria Regional do Mar, Ciência e Tecnologia dos Açores, AMP/2018/021
high quality	YPM-IZ-110847			NE Atlantic	Azores	Conceição beach, Faial Island, Azores	38.542865, -28.618676	7/15/2020	PHY60	38.542865, -28.618676	Carlos J. Moura	Secretaria Regional do Mar, Ciência e Tecnologia dos Açores, AMP/2018/021
high quality	YPM-IZ-110876	not assigned yet	izs.34603	Gulf of Mexico	Texas		29.260000, -94.840000	3/19/2017	TX2017_038	29.26, -94.84	Catriona Munro	
high quality	YPM-IZ-110877		izs.34604	Gulf of California	Mexico	Gulf of California	27.245000, -111.500000	6/6/2007	GoCJUN6	27° 14.7 N 111° 30 W	Steve Haddock	
high quality	YPM-IZ-110878		izs.34605	Gulf of California	Mexico	Gulf of California	27.326667, -111.480000	6/9/2006	GoCBW1	27°19.6'N 111°28.8'W	Steve Haddock	
excluded	YPM-IZ-110879			Gulf of California	Mexico	Gulf of California	27.326667, -111.480000	6/9/2006	GoCBW2	27°19.6'N 111°28.8'W	Steve Haddock	
high quality	YPM-IZ-110880			NW Atlantic	Northeast US	Block Island	41.149290, -71.481140	8/23/2023	CWD-BI1	41.14929, -71.48114	Casey Dunn, Namrata Ahuja, Mary Beth Decker	RIDEM- Division of Marine Fisheries, scientific collectors permit:855
high quality	YPM-IZ-110881			Central Pacific	Hawai'i	Hawaii, Kona	19.666667, -156.083333	4/10/2023	HI23BW1-16	19ª 40'N 156° 05'W	Steve Haddock	
high quality	YPM-IZ-110882			Central Pacific	Hawai'i	Hawaii, Kona	19.666667, -156.083333	4/10/2023	HI23BW5-1	19ª 40'N 156° 05'W	Steve Haddock	
high quality	YPM-IZ-110883			Central Pacific	Hawai'i	Hawaii, Kona	19.666667, -156.083333	4/10/2023	HI23BW5-2	19ª 40'N 156° 05'W	Steve Haddock	
high quality	YPM-IZ-110906			Central Pacific	NW Hawaiian Islands		26.723056, -164.766667	8/23/2023		26 27.983N, 164 46W	Jessica Perelman, Andrea Schmidt	Papahānaumokuākea Marine National Monument, PMNM-2023-001
high quality	YPM-IZ-110907			Central Pacific	NW Hawaiian Islands		26.080000, -176.470000	8/22/2023		26 00.288N, 176 15.792W	Jessica Perelman, Andrea Schmidt	Papahānaumokuākea Marine National Monument, PMNM-2023-001
high quality	YPM-IZ-110931			NW Pacific	Japan	Fujisawa Enoshima (Nishi hama beach)	35.309561, 139.478820	5/19/2023	JP8	35.309561, 139.478820	Gaku Yamamoto	
high quality	YPM-IZ-110937			NW Pacific	Japan	Fujisawa Enoshima (Nishi hama beach)	35.309561, 139.478820	7/21/2023	JP14	35.309561, 139.478820	Gaku Yamamoto	
high quality	YPM-IZ-110972			NE Atlantic	Ireland	Near the Smugglers Inn, Waterville, Co. Kerry	51.83707, -10.19556	10/8/2023	1	51.83707, -10.19556	Tom Doyle	
excluded	YPM-IZ-110973			NE Atlantic	Ireland	Near Dooley's Seafood & Steak House, Waterville, Co. Kerry	51.82789, -10.17463	10/8/2023	2	51.82789, -10.17463	Tom Doyle	
high quality	YPM-IZ-111006			W Indian	South Africa	Sodwana Bay, iSimangaliso Park, KwaZulu-Natal, South Africa	-27.539919, 32.678650	8/8/2023	1	-27.539919, 32.678650	Andy Coetze	Department of Fisheries, Forestry and Environment, amend RES2023-78
high quality	YPM-IZ-111007			W Indian	South Africa	Sodwana Bay, iSimangaliso Park, KwaZulu-Natal, South Africa	-27.539919, 32.678650	8/8/2023	2	27.539919, 32.678650	Andy Coetze	Department of Fisheries, Forestry and Environment, amend RES2023-78
high quality	YPM-IZ-111008			W Indian	South Africa	Sodwana Bay, iSimangaliso Park, KwaZulu-Natal, South Africa	-27.539919, 32.678650	8/8/2023	3	27.539919, 32.678650	Andy Coetze	Department of Fisheries, Forestry and Environment, amend RES2023-78
high quality	YPM-IZ-111009			W Indian	South Africa	Sodwana Bay, iSimangaliso Park, KwaZulu-Natal, South Africa	-27.539919, 32.678650	8/8/2023	4	27.539919, 32.678650	Andy Coetze	Department of Fisheries, Forestry and Environment, amend RES2023-78
high quality	YPM-IZ-111010			W Indian	South Africa	Sodwana Bay, iSimangaliso Park, KwaZulu-Natal, South Africa	-27.539919, 32.678650	8/8/2023	5	27.539919, 32.678650	Andy Coetze	Department of Fisheries, Forestry and Environment, amend RES2023-78
high quality	OA-190531-1			SW Pacific	New South Wales	Bondi Beach	-33.891500, 151.276700	12/15/2019	190531	33.8915° S, 151.2767° E	Ozren Bogdanovic	
moderate quality	OA-Bluebottle			SW Pacific	New South Wales	Sydney	-33.920300, 151.258100	1/1/2022	GON10891	33.9203° S, 151.2581° E	Ozren Bogdanovic	
